,team,move,move_q1,move_q2,move_q3,move_q4
0,NOP,17.952922077922068,4.235569985569988,4.776695526695526,4.6975108225108215,3.1345598845598843
1,TOR,8.668283523705213,2.593334376466906,2.343295258957909,1.0474104209043986,2.5539039273979043
2,LAL,15.469226425748161,4.827357425183514,5.991671372106154,3.1775832862789386,2.303642010163749
3,LAC,21.336745607333825,4.572498090145153,7.38029029793735,4.897020626432393,4.28586707410237
4,CHI,7.416383616383598,1.3924075924075936,1.6617382617382574,1.2481518481518492,3.6777222777222818
5,CHO,8.04715284715283,2.346253746253751,2.5694305694305655,1.094305694305696,0.9854145854145884
6,DET,6.426406926406912,1.768398268398272,2.097402597402592,1.2922077922077904,1.0259740259740298
7,IND,0.0,0.0,0.0,0.0,0.0
8,CLE,7.385614385614389,3.469330669330674,1.2155844155844093,1.5250749250749251,0.44695304695304827
9,ORL,8.44971694971693,2.412920412920414,3.0053280053280034,2.130203130203128,1.5725940725940717
10,MIN,23.671672077922068,5.67654220779221,5.431209415584412,4.577719155844157,6.146712662337663
11,BRK,21.670027341079958,4.181476418318525,3.770847573479152,6.61637047163363,5.8728639781271355
12,MEM,18.713057213057198,4.74833274833275,5.415584415584412,3.912600912600915,5.324499824499824
13,MIA,10.960900801326318,1.7928985907709318,3.0751588836695163,2.6239292622271364,1.130422768720642
14,BOS,13.628483875674874,3.01678097183715,3.3481686852473302,2.1895520210126946,3.9320005836859764
15,PHI,15.077922077922068,6.142857142857146,2.441558441558435,3.1558441558441572,4.012987012987011
16,WAS,11.75847763347761,4.555014430014431,2.9711399711399693,3.3780663780663787,1.162337662337663
17,DAL,17.47298380631713,6.071989738656406,4.625460958794285,2.390412057078727,3.0697450697450677
18,NYK,16.562770562770567,5.510822510822514,3.2186147186147167,3.3225108225108215,3.874458874458874
19,SAS,12.021584049753045,1.7711724894823533,2.04938723248582,4.522041338942749,2.5355770989573827
20,OKC,14.44501068551699,4.448298536906137,3.149761630774286,2.257109978628968,3.535755383856653
21,UTA,10.103238533618281,1.1698175242479039,2.390267959888213,1.8773631431859314,4.599046523097158
22,SAC,6.258477633477611,0.1939033189033239,0.860028860028855,1.489177489177493,2.6206709956709986
23,PHO,12.831346735456322,2.2214908379291955,2.7169542785981093,3.895570183241418,4.319871908913008
24,DEN,7.360530773574254,0.19692264257481895,1.7742800677583261,0.9384528514963293,2.8145115753811396
25,POR,9.25292207792208,4.007792207792207,2.4655844155844093,1.7058441558441544,1.3623376623376657
26,ATL,23.28687730180266,3.9689862376429588,6.281256057375458,5.976739678232214,5.513083930994377
27,MIL,34.17430762009073,7.73791268971992,8.451728993897667,8.975121264277895,8.915349710530435
28,HOU,13.030303030303031,3.9577922077922096,2.998917748917748,3.251082251082252,2.5909090909090935
29,GSW,12.077922077922068,2.6539460539460578,3.4001998001997933,2.555844155844156,2.923876123876127
